job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193492,rotor,100000,64,Float64,4,fused_cta,ok,true,0.069,3.281,0.7632,12.649,12.731,2.901,1.432e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float64,4,fused_srclanes,ok,true,0.068,3.281,0.7736,12.545,12.767,2.927,1.432e-03,3536,43572,2,4,0,true,true
13193492,rotor,100000,64,Float64,4,fused_packed,ok,true,0.068,3.281,0.7584,12.531,12.741,2.832,1.432e-03,3536,43572,2,4,0,true,true
13193492,rotor,1000000,64,Float32,4,pairs,ok,false,0.531,5.781,2.6498,26.85,27.023,13.806,8.500e-04,24201,184621,2,4,0,true,true
13193492,rotor,1000000,64,Float32,4,fused_cta,ok,true,0.272,5.875,2.4862,26.794,26.788,14.673,8.500e-04,24201,184621,2,4,0,true,true
13193492,rotor,1000000,64,Float32,4,fused_srclanes,ok,true,0.273,5.844,3.2586,27.486,27.489,15.441,8.500e-04,24201,184621,2,4,0,true,true
13193492,rotor,1000000,64,Float32,4,fused_packed,ok,true,0.25,5.875,2.0186,26.32,26.345,16.255,8.500e-04,24201,184621,2,4,0,true,true
13193492,rotor,1000000,64,Float64,4,pairs,ok,false,0.331,6.938,4.1926,34.794,34.681,14.997,5.468e-04,24199,184605,2,4,0,true,true
13193492,rotor,1000000,64,Float64,4,fused_cta,ok,true,0.278,7.0,4.3234,35.042,34.777,18.169,5.468e-04,24199,184605,2,4,0,true,true
13193492,rotor,1000000,64,Float64,4,fused_srclanes,ok,true,0.304,7.0,5.9971,36.742,36.494,18.286,5.468e-04,24199,184605,2,4,0,true,true
13193492,rotor,1000000,64,Float64,4,fused_packed,ok,true,0.263,7.0,3.2206,33.883,33.577,17.965,5.468e-04,24199,184605,2,4,0,true,true
13193492,cube,100000,64,Float64,8,pairs,ok,false,0.975,2.531,0.6977,8.957,9.072,1.49,1.218e-05,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,8,fused_cta,ok,true,0.971,2.531,1.2198,9.015,9.55,1.479,1.218e-05,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,8,fused_srclanes,ok,true,0.971,2.531,1.0204,9.067,9.369,1.492,1.218e-05,4096,199480,2,4,0,true,true
13193492,cube,100000,64,Float64,8,fused_packed,ok,true,0.98,2.531,0.7471,8.709,9.146,1.502,1.218e-05,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float32,4,pairs,ok,false,41.07,2.242,0.3263,1.638,1.958,1.489,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float32,4,fused_cta,ok,true,1.603,2.062,0.6154,1.697,2.218,1.437,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float32,4,fused_srclanes,ok,true,1.087,2.062,0.6676,1.922,2.295,1.459,4.634e-04,4096,199480,2,4,0,true,true
