label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
w5_p_e5q12_dense_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,12,uniform,dense,256,default,ok,,16.24,16.094,0.045,0.336,15.801,0.056,0.002,,,,,,,,,,,,6.9413e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,,,1.56,1440,3.23,true
w5_p_e5q12_py_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,12,uniform,precomputed_y,256,default,ok,,22.135,21.812,0.051,0.332,21.595,0.055,0.102,,,,,,,,,,,,6.9413e-04,1.1111e-04,5.9862e-03,true,896,1121,227840,92592,32768,,,0.06,9008,2.7,true
w5_p_e5q16_dense_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,dense,256,default,ok,,16.719,16.466,0.046,0.328,16.257,0.055,0.032,,,,,,,,,,,,4.7925e-04,7.4880e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,2.14,1440,2.79,true
w5_p_e5q16_py_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,precomputed_y,256,default,ok,,24.634,24.433,0.047,0.332,24.14,0.055,0.06,,,,,,,,,,,,4.7925e-04,7.4883e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,0.07,12056,2.95,true
w5_p_e5q16_dense_f64,13134906,m13h-1-1,wake,100000,partitioned,Float64,5,16,uniform,dense,256,default,ok,,23.819,23.617,0.045,0.333,23.412,0.062,-0.033,,,,,,,,,,,,4.7925e-04,7.4881e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,0.29,1968,3.04,true
w5_p_e5q16_K64_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,concat,64,default,ok,,57.306,55.587,0.047,0.338,54.816,0.056,2.049,,,,,,,,,,,,4.7925e-04,7.4882e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,0.09,11972,2.95,true
w5_p_e5q16_K4096_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,concat,4096,default,ok,,21.136,20.996,0.046,0.335,20.623,0.055,0.077,,,,,,,,,,,,4.7925e-04,7.4880e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,0.14,12068,7.07,true
w5_p_e5q16_rho479_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,concat,256,4.789,ok,,29.96,29.695,0.052,0.34,29.521,0.056,-0.009,,,,,,,,,,,,4.7935e-04,7.4824e-05,4.3601e-03,true,896,1121,240464,121104,32768,,,0.07,12056,7.39,true
w5_p_e5q16_s20_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,20 20 16 16,concat,256,default,ok,,34.274,34.011,0.053,0.352,34.306,0.056,-0.494,,,,,,,,,,,,4.7722e-04,7.4675e-05,4.3565e-03,true,896,1121,242960,121104,32768,,,0.35,17684,3.42,true
wAtC_e3q16_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,3,16,uniform,concat,256,default,ok,,369.579,358.884,0.046,0.271,368.703,0.055,0.503,,,,,,,,,,,,4.4415e-05,4.7169e-06,1.7985e-04,true,32,57,288,736,512,,,0.39,1776,2.6,true
wAtC_e4q17_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,4,17,uniform,concat,256,default,ok,,101.01,97.551,0.051,0.536,98.36,0.055,2.008,,,,,,,,,,,,1.3944e-04,2.2738e-05,6.7618e-04,true,168,225,10928,12912,4096,,,0.13,3752,1.7,true
