variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
materialized,batched_operator,Float64,1,3,true,32,32,false,7.789640e-05,2.434263e-06
factored,batched_operator,Float64,1,3,true,32,32,false,8.241990e-05,2.575622e-06
materialized,batched_operator,Float64,1,3,true,64,64,false,1.543010e-04,2.410953e-06
factored,batched_operator,Float64,1,3,true,64,64,false,1.642580e-04,2.566531e-06
materialized,batched_operator,Float64,1,3,true,256,256,false,6.176010e-04,2.412504e-06
factored,batched_operator,Float64,1,3,true,256,256,false,6.579560e-04,2.570141e-06
materialized,batched_operator,Float64,1,3,true,1024,1024,false,2.489589e-03,2.431239e-06
factored,batched_operator,Float64,1,3,true,1024,1024,false,2.651242e-03,2.589104e-06
materialized,batched_operator,Float64,1,3,true,4096,4096,false,1.132749e-02,2.765500e-06
factored,batched_operator,Float64,1,3,true,4096,4096,false,1.081257e-02,2.639787e-06
production_recurrence,recurrence,Float64,1,3,true,1,1,false,1.108580e-06,1.108580e-06
production_recurrence,recurrence,Float64,1,3,true,2,2,false,2.225980e-06,1.112990e-06
production_recurrence,recurrence,Float64,1,3,true,4,4,false,4.441150e-06,1.110288e-06
production_recurrence,recurrence,Float64,1,3,true,8,8,false,8.873380e-06,1.109173e-06
production_recurrence,recurrence,Float64,1,3,true,16,16,false,1.770620e-05,1.106637e-06
production_recurrence,recurrence,Float64,1,3,true,32,32,false,3.529940e-05,1.103106e-06
production_recurrence,recurrence,Float64,1,3,true,64,64,false,7.105650e-05,1.110258e-06
production_recurrence,recurrence,Float64,1,3,true,256,256,false,2.835330e-04,1.107551e-06
production_recurrence,recurrence,Float64,1,3,true,1024,1024,false,1.139612e-03,1.112902e-06
production_recurrence,recurrence,Float64,1,3,true,4096,2048,true,4.556764e-03,1.112491e-06
materialized,batched_operator,Float64,1,4,false,1,1,false,1.854980e-06,1.854980e-06
factored,batched_operator,Float64,1,4,false,1,1,false,1.631970e-06,1.631970e-06
materialized,batched_operator,Float64,1,4,false,2,2,false,3.681720e-06,1.840860e-06
factored,batched_operator,Float64,1,4,false,2,2,false,3.186890e-06,1.593445e-06
materialized,batched_operator,Float64,1,4,false,4,4,false,7.149240e-06,1.787310e-06
factored,batched_operator,Float64,1,4,false,4,4,false,6.531670e-06,1.632917e-06
materialized,batched_operator,Float64,1,4,false,8,8,false,1.441910e-05,1.802388e-06
factored,batched_operator,Float64,1,4,false,8,8,false,1.279500e-05,1.599375e-06
materialized,batched_operator,Float64,1,4,false,16,16,false,2.844350e-05,1.777719e-06
factored,batched_operator,Float64,1,4,false,16,16,false,2.512020e-05,1.570013e-06
materialized,batched_operator,Float64,1,4,false,32,32,false,5.684380e-05,1.776369e-06
factored,batched_operator,Float64,1,4,false,32,32,false,5.002700e-05,1.563344e-06
