step,wall_s,body_influence,controls_setup,io,monitors,remaining_aerodynamics,rigid_kinematics,shedding,solve,total_step,unclassified_residual,wake_influence,wake_propagation_maintenance,wake_sfs,g_influence_pass1,g_influence_pass3
115,5.79,1.399239757,1.9402e-05,0.881397264,0.317361006,0.105776171,0.000507311,0.023337403,0.96901384,6.007167588,0.00019299600000000083,2.272791376,0.037531062,1.466284038,0.80612,1.3991
116,6.01,1.398661613,3.1548e-05,0.867133613,0.441176347,0.105852875,0.000504476,0.022698344,0.964378939,6.30893667,0.00019077700000025288,2.471260915,0.037047223,1.589485351,0.88139,1.3985
117,6.31,1.653237215,2.6254e-05,0.894494258,2.000997984,0.105101896,0.000529959,0.022355448,0.956766421,8.191502891,0.00019219000000170183,2.521157622,0.036643644,1.608681195,0.91209,1.6531
118,8.19,1.652623343,2.7019e-05,0.893933607,0.320958942,0.10605509500000002,0.000517681,0.023825528,0.944307965,6.538691141,0.00020149000000024841,2.55782286,0.038417611,1.655770894,0.90168,1.6525
119,6.54,1.652357217,2.6553e-05,0.903106417,0.322210584,0.10659373899999999,0.000500419,0.023875689,0.944972132,6.489128298,0.00020864499999984076,2.503314076,0.031962827,1.617931773,0.88501,1.6522
120,6.49,1.651009741,2.8224e-05,0.89710897,0.528837149,0.10678618699999999,0.000483081,0.02264634,0.943391237,6.621444587,0.0002009430000011747,2.433203594,0.037749121,1.562235719,0.87057,1.6508
121,6.62,1.650129879,2.7662e-05,0.934636845,0.302498514,0.10027509999999999,0.000500099,0.023159891,0.94277746,6.314159184,0.00021766000000056351,2.32202109,0.037914984,1.4911904009999999,0.83045,1.6499
122,6.31,1.650692448,2.6602e-05,0.92184125,0.332361291,0.105800898,0.000499707,0.023090867,0.945554544,6.248489508,0.00019092899999861856,2.22991126,0.038519712,1.432804216,0.79679,1.6505
123,6.25,1.651780804,2.719e-05,0.926750471,0.339202775,0.105750858,0.000499609,0.024066901,0.944403424,6.370323243,0.0002171869999987308,2.339357947,0.038266077,1.4968574959999998,0.84211,1.6516
124,6.37,1.654332758,2.8971e-05,0.939660685,0.348395902,0.107484737,0.000502406,0.025163224,0.943494175,6.546891767,0.00020803100000055252,2.489390951,0.038229927,1.5983799010000002,0.89062,1.6542
