host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,311.50815,86020416,325244704,181.292922,27840,203.186591,52528,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,196.772062,86020416,325244704,183.411555,27840,206.486735,52528,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,262.087021,86020416,325244704,186.72908199999998,27840,209.113834,52528,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,factored_023a,33068,1584,48,20.876262626262626,1584,48,13.64355,29067944,1151136,59.433763,1808,92.334504,18032,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_scalar,33068,209,1378,158.2200956937799,1584,48,6.586392,2057760,7732096,28.242876,8768,61.051173,25248,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_gemm,33068,209,1378,158.2200956937799,1584,48,8.896275,2057760,7732096,24.195516,8768,57.007671,25248,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_production,33068,209,1378,158.2200956937799,1584,48,8.851771,2057760,7732096,24.199002,8768,57.165729,25248,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,8.94173,2057760,7732096,24.174305999999998,8768,57.105054,25248,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,10.450276,2057760,7732096,24.172863999999997,8768,57.056333,25248,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,8.985413,2057760,7732096,24.196379,8768,57.04383,25248,12,16
