host,kernel,cpu_model,julia_version,julia_threads,blas_vendor,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_production,182336,387,17100,471.1524547803618,3124,243,161.50389,33898176,137191360,1145.032904,60992,1196.694954,84992,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_candidate,182336,387,17100,471.1524547803618,3124,243,151.711545,33898176,137191360,1141.03435,60992,1193.9496350000002,84992,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_candidate,182336,387,17100,471.1524547803618,3124,243,188.403759,33898176,137191360,1140.1726999999998,60992,1195.92991,84992,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_candidate,182336,387,17100,471.1524547803618,3124,243,163.546074,33898176,137191360,1150.680147,60992,1198.144492,84992,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,2000,precomputed_candidate,182336,387,17100,471.1524547803618,3124,243,213.992944,33898176,137191360,1141.068365,60992,1196.619566,84992,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,factored_023a,219918,3282,308,67.0073126142596,3282,308,191.814927,109543928,1740960,2767.840048,1808,2839.133432,18032,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_scalar,219918,387,22446,568.2635658914729,3282,308,188.78888,43078112,165287296,1812.987898,30576,1876.830958,47056,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_gemm,219918,387,22446,568.2635658914729,3282,308,200.919647,43078112,165287296,1471.095584,30576,1531.676467,47056,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_production,219918,387,22446,568.2635658914729,3282,308,239.362687,43078112,165287296,1455.4165830000002,30576,1526.497519,47056,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_candidate,219918,387,22446,568.2635658914729,3282,308,206.970834,43078112,165287296,1463.922671,30576,1549.7558760000002,47056,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_candidate,219918,387,22446,568.2635658914729,3282,308,242.215546,43078112,165287296,1471.4004249999998,30576,1538.911941,47056,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_candidate,219918,387,22446,568.2635658914729,3282,308,233.188895,43078112,165287296,1469.367048,30576,1545.486931,47056,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,2000,precomputed_candidate,219918,387,22446,568.2635658914729,3282,308,202.22602,43078112,165287296,1459.610424,30576,1542.208753,47056,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,2000,factored_023a,213632,3250,275,65.73292307692307,3250,275,230.811641,143478440,2543776,5919.944759,1808,6008.344872000001,25552,12,12
