host,gpu,variant,precision,P,lh,n,ell,fit,note,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,dense_operator_bytes,dense_persistent_bytes,dense_estimated_peak_bytes,chunk,whole_pass,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-2,NVIDIA H200,dense,Float64,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,277.674798,100663296,203423744,40722624,57767456,57767456,16384,true,0.3333119966555387,1.297696027904749,30.991584062576294,1.2848320184275508,0.6984960054978728,21904,36.943103,3894544,NaN,3.268261120677879e-7
m13h-1-2,NVIDIA H200,dense_perclass,Float64,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,266.000526,100663296,203423744,40722624,57767456,57767456,16384,false,0.3328000020701438,1.2937920400872827,43.62860694527626,1.2822080170735717,0.7008960237726569,21888,49.68351,6340784,NaN,3.2682611206605316e-7
m13h-1-2,NVIDIA H200,dense,Float32,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,2951.725902,67108864,136314880,20361312,29410752,29410752,16384,true,0.2070399932563305,1.2833919608965516,31.111327931284904,1.2348480522632599,0.5682240007445216,10952,36.68631,3885920,NaN,2.371614966134583e-6
m13h-1-2,NVIDIA H200,dense_perclass,Float32,4,true,2000,3,true,,23646,222370,1368,41,17.285087719298247,2883.919367,67108864,169869312,20361312,29410752,29410752,16384,false,0.2064319996861741,1.2505600461736321,43.10080036520958,1.252192072570324,0.5732799763791263,10944,49.165243,6332160,NaN,2.4908242556853644e-6
m13h-1-2,NVIDIA H200,concat,Float64,8,false,2000,3,true,,177990,65059,0,0,0.0,10.681855,973078528,1042284544,0,0,0,16384,true,1.9627520814538002,0.6239680224098265,2.941183978691697,0.6028159987181425,2.04265583306551,160,8.545369,1615488,1.6684062464911165e-10,1.643284673613632e-8
m13h-1-2,NVIDIA H200,factored,Float64,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,13.179948,100663296,169869312,0,0,0,16384,true,1.9620798993855715,0.6241920054890215,2.3503999691456556,0.6046720081940293,2.0477441139519215,0,8.030815,1562976,1.6684062464911165e-10,1.6432846722258532e-8
m13h-1-2,NVIDIA H200,precomputed_y,Float64,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,38.522288,100663296,169869312,0,0,0,16384,true,1.9620158709585667,0.6190399872139096,1.2899839784950018,0.6108160014264286,2.0474561024457216,0,6.95851,1550496,1.6684065240468726e-10,1.6432846722258532e-8
m13h-1-2,NVIDIA H200,dense,Float64,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,1757.995636,234881024,337641472,163972512,186267248,186267248,16384,true,1.962207956239581,0.6079039885662496,75.27398318052292,0.60351996216923,2.0393601153045893,50080,80.67946400000001,6591296,1.6684062464911165e-10,1.6432846750014107e-8
m13h-1-2,NVIDIA H200,dense_perclass,Float64,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,1761.400943,234881024,337641472,163972512,186267248,186267248,16384,false,1.9621760584414005,0.6031360244378448,101.53385996818542,0.6007680203765631,2.0412160083651543,49952,108.96004199999999,11157632,1.6684062464911165e-10,1.6432846750014107e-8
m13h-1-2,NVIDIA H200,dense,Float32,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,24358.421166,134217728,236978176,81986256,93664160,93664160,16384,true,1.2773120542988181,0.6441919831559062,73.53820651769638,0.6142720230855048,1.4908160082995892,25040,79.60411400000001,6586368,5.945890439729151e-8,1.2032763801517188e-5
