level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,1:1:-3,3:1:1,9,12,4898.448181304328:3966.7616796797356:2980.0409713573854:2496.9669320016296:2302.989752100345:1103.4405098078298:1100.4467770007168:18.091898760734228:14.470880272818734:9.090062035917557:6.599661883453401:6.468916928412253:1.0088258082235437:0.2855497476029031:0.254292276547366:0.08837298566763736,0.0033586685364146323
2,6,6,2:1:-3,3:2:1,6,12,2998.575780277279:2874.474124648095:1512.1527215173326:1348.7074319918938:892.2630149704705:268.5274681236109:264.7941010819014:12.125696099712368:10.535412543779467:5.942159398877152:2.7275951146217494:2.5935447414447887:0.8440548457070851:0.19710988513040079:0.15943423088383918:0.0668176510672297,0.0037182560295004508
2,6,6,3:1:-3,3:3:1,3,13,1614.4136127109975:1548.3872969471488:609.3213810930688:440.75998857392875:282.7793713031999:59.67379154506723:56.9163125328675:7.088907938752338:6.277625033509533:3.1807500710279206:1.0022622674696031:0.9974775764315005:0.6180296561632912:0.12279841399698091:0.0894954728756811:0.046071039467399336,0.0042503979319830085
2,6,6,-3:2:-3,3:3:2,2,13,1155.0106200519601:1100.6508402792506:367.09176616558096:256.0825964170899:168.119971299961:30.93727786184262:29.044796185007655:5.490347158203055:4.750447290877274:2.2748772210780195:0.7318998631518816:0.6393409018457487:0.4771585629830941:0.0976518838723901:0.06775339998453132:0.0382136757597215,0.004613080225583563
2,6,6,-2:2:-3,3:2:2,4,12,2033.1778392565532:1979.936528634598:877.9822387721708:665.3028674666423:423.04806222256576:100.63267264745004:97.23510568261845:8.609830624215189:7.667559354663377:4.049602976825261:1.4264647713002612:1.3652314674732033:0.7061011488622494:0.14598145991528183:0.11043224747687272:0.052887365088386984,0.00403019312981227
2,6,6,-1:2:-3,3:2:1,6,12,2998.575780277279:2874.474124648094:1512.1527215173335:1348.7074319918938:892.263014970471:268.5274681236109:264.79410108190166:12.125696099712341:10.535412543779437:5.942159398877134:2.727595114621679:2.5935447414447257:0.8440548457070459:0.1971098851304235:0.15943423088382633:0.06681765106729443,0.003718256029500438
2,6,6,0:2:-3,3:2:0,8,12,3510.1868610325437:3214.3092442344364:1773.3263831813354:1747.5686242932416:1211.094869496893:402.9798615798228:399.54830753047867:13.808577423559605:11.737423437962047:6.787741238576051:3.5406561393360394:3.391815867050903:0.8954832993176325:0.22094418741012017:0.18363886893910256:0.0728991012877452,0.0036105893691013367
2,6,6,1:2:-3,3:2:1,6,12,2998.5757802772787:2874.474124648093:1512.1527215173326:1348.7074319918945:892.263014970471:268.527468123611:264.7941010819012:12.125696099712384:10.535412543779453:5.942159398877111:2.727595114621726:2.5935447414449087:0.8440548457070806:0.19710988513031125:0.15943423088384764:0.0668176510671628,0.003718256029500453
2,6,6,2:2:-3,3:2:2,4,12,2033.177839256554:1979.9365286345978:877.982238772171:665.3028674666423:423.0480622225656:100.63267264745036:97.2351056826185:8.609830624215196:7.667559354663361:4.049602976825267:1.426464771300231:1.3652314674731845:0.7061011488622254:0.145981459915193:0.11043224747691333:0.0528873650884127,0.0040301931298122665
2,6,6,3:2:-3,3:3:2,2,13,1155.0106200519597:1100.6508402792504:367.09176616558074:256.08259641709014:168.11997129996092:30.937277861842453:29.044796185007645:5.490347158203067:4.7504472908772595:2.2748772210780275:0.7318998631518838:0.6393409018457702:0.4771585629830855:0.09765188387238567:0.06775339998454524:0.03821367575968622,0.004613080225583567
