case,n,structure,param,pop,count
wake,1000000,uniform,5,1167,2
wake,1000000,uniform,5,1168,2
wake,1000000,uniform,5,1169,3
wake,1000000,uniform,5,1170,5
wake,1000000,uniform,5,1172,4
wake,1000000,uniform,5,1173,5
wake,1000000,uniform,5,1174,2
wake,1000000,uniform,5,1175,3
wake,1000000,uniform,5,1177,1
wake,1000000,uniform,5,1178,2
wake,1000000,uniform,5,1179,1
wake,1000000,uniform,5,1180,3
wake,1000000,uniform,5,1181,3
wake,1000000,uniform,5,1182,1
wake,1000000,uniform,5,1183,2
wake,1000000,uniform,5,1184,2
wake,1000000,uniform,5,1185,1
wake,1000000,uniform,5,1187,2
wake,1000000,uniform,5,1188,2
wake,1000000,uniform,5,1189,1
wake,1000000,uniform,5,1190,1
wake,1000000,uniform,5,1198,1
wake,1000000,uniform,5,1199,1
wake,1000000,uniform,5,1200,1
wake,1000000,uniform,5,1208,1
wake,1000000,uniform,5,1215,1
wake,1000000,uniform,5,1224,1
wake,1000000,uniform,5,1231,1
wake,1000000,uniform,6,1,29
wake,1000000,uniform,6,2,5
wake,1000000,uniform,6,3,17
wake,1000000,uniform,6,4,14
wake,1000000,uniform,6,5,37
wake,1000000,uniform,6,6,66
wake,1000000,uniform,6,7,95
wake,1000000,uniform,6,8,106
wake,1000000,uniform,6,9,106
wake,1000000,uniform,6,10,114
wake,1000000,uniform,6,11,119
wake,1000000,uniform,6,12,89
wake,1000000,uniform,6,13,78
wake,1000000,uniform,6,14,54
wake,1000000,uniform,6,15,44
wake,1000000,uniform,6,16,25
wake,1000000,uniform,6,17,21
wake,1000000,uniform,6,18,15
wake,1000000,uniform,6,19,11
wake,1000000,uniform,6,20,15
wake,1000000,uniform,6,21,14
wake,1000000,uniform,6,22,13
wake,1000000,uniform,6,23,16
wake,1000000,uniform,6,24,14
wake,1000000,uniform,6,25,12
wake,1000000,uniform,6,26,15
wake,1000000,uniform,6,27,10
wake,1000000,uniform,6,28,22
wake,1000000,uniform,6,29,16
wake,1000000,uniform,6,30,21
wake,1000000,uniform,6,31,12
wake,1000000,uniform,6,32,12
wake,1000000,uniform,6,33,9
wake,1000000,uniform,6,34,6
wake,1000000,uniform,6,35,5
wake,1000000,uniform,6,36,6
wake,1000000,uniform,6,37,3
wake,1000000,uniform,6,38,4
wake,1000000,uniform,6,39,3
wake,1000000,uniform,6,40,3
wake,1000000,uniform,6,41,3
wake,1000000,uniform,6,43,2
wake,1000000,uniform,6,44,2
wake,1000000,uniform,6,45,2
wake,1000000,uniform,6,46,2
wake,1000000,uniform,6,47,1
wake,1000000,uniform,6,49,5
wake,1000000,uniform,6,50,1
wake,1000000,uniform,6,51,4
wake,1000000,uniform,6,52,2
wake,1000000,uniform,6,53,4
wake,1000000,uniform,6,54,4
wake,1000000,uniform,6,55,3
wake,1000000,uniform,6,56,9
wake,1000000,uniform,6,57,10
wake,1000000,uniform,6,58,10
wake,1000000,uniform,6,59,7
wake,1000000,uniform,6,60,14
wake,1000000,uniform,6,61,10
wake,1000000,uniform,6,62,16
wake,1000000,uniform,6,63,13
wake,1000000,uniform,6,64,18
wake,1000000,uniform,6,65,22
wake,1000000,uniform,6,66,20
wake,1000000,uniform,6,67,26
wake,1000000,uniform,6,68,16
wake,1000000,uniform,6,69,29
wake,1000000,uniform,6,70,25
wake,1000000,uniform,6,71,16
wake,1000000,uniform,6,72,29
wake,1000000,uniform,6,73,34
wake,1000000,uniform,6,74,25
wake,1000000,uniform,6,75,26
wake,1000000,uniform,6,76,24
wake,1000000,uniform,6,77,27
wake,1000000,uniform,6,78,28
wake,1000000,uniform,6,79,21
wake,1000000,uniform,6,80,29
wake,1000000,uniform,6,81,18
wake,1000000,uniform,6,82,24
wake,1000000,uniform,6,83,14
wake,1000000,uniform,6,84,20
wake,1000000,uniform,6,85,21
wake,1000000,uniform,6,86,16
wake,1000000,uniform,6,87,8
wake,1000000,uniform,6,88,12
wake,1000000,uniform,6,89,9
