case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,1.000,uj,89,6.294793296e-02,1.325152591e+01
rotor,self,1.000,uj,90,6.006169289e-02,1.310649782e+01
rotor,self,1.000,uj,91,5.749246079e-02,1.208847575e+01
rotor,self,1.000,uj,92,5.492466185e-02,1.181809905e+01
rotor,self,1.000,uj,93,5.247040507e-02,1.129283676e+01
rotor,self,1.000,uj,94,4.990902229e-02,1.126404756e+01
rotor,self,1.000,uj,95,4.756529436e-02,1.051355479e+01
rotor,self,1.000,uj,96,4.526878601e-02,1.015637246e+01
rotor,self,1.000,uj,97,4.313453298e-02,9.554503492e+00
rotor,self,1.000,uj,98,4.125818482e-02,8.753063581e+00
rotor,self,1.000,uj,99,3.969136650e-02,7.833708884e+00
rotor,self,1.000,uj,100,3.810095914e-02,7.737015225e+00
rotor,self,1.000,uj,101,3.649121638e-02,7.622119641e+00
rotor,self,1.000,uj,102,3.509139202e-02,6.962920212e+00
rotor,self,1.000,uj,103,3.368859959e-02,6.832484421e+00
rotor,self,1.000,uj,104,3.244869229e-02,6.298957779e+00
rotor,self,1.000,uj,105,3.117777301e-02,6.255020942e+00
rotor,self,1.000,uj,106,3.005363583e-02,5.770954712e+00
rotor,self,1.000,uj,107,2.896059691e-02,5.586593603e+00
rotor,self,1.000,uj,108,2.782902841e-02,5.576039104e+00
rotor,self,1.000,uj,109,2.666944092e-02,5.529613769e+00
rotor,self,1.000,uj,110,2.552123973e-02,5.384636137e+00
rotor,self,1.000,uj,111,2.434085485e-02,5.336394934e+00
rotor,self,1.000,uj,112,2.311674926e-02,5.301676577e+00
rotor,self,1.000,uj,113,2.183179355e-02,5.286311762e+00
rotor,self,1.000,uj,114,2.050530633e-02,5.212702901e+00
rotor,self,1.000,uj,115,1.922057023e-02,4.969292856e+00
rotor,self,1.000,uj,116,1.787797103e-02,4.909106951e+00
rotor,self,1.000,uj,117,1.642689618e-02,4.907650916e+00
rotor,self,1.000,uj,118,1.485814915e-02,4.872992436e+00
rotor,self,1.000,uj,119,1.312488820e-02,4.844291707e+00
rotor,self,1.000,uj,120,1.122190847e-02,4.734660904e+00
rotor,self,1.000,uj,121,9.730221346e-03,3.888694658e+00
rotor,self,1.000,uj,122,8.754751286e-03,2.953705984e+00
rotor,self,1.000,uj,123,7.705491044e-03,2.890750474e+00
rotor,self,1.000,uj,124,6.578186780e-03,2.791203381e+00
rotor,self,1.000,uj,125,5.283528351e-03,2.725851744e+00
rotor,self,1.000,uj,126,4.217240777e-03,2.213948128e+00
rotor,self,1.000,uj,127,3.648564166e-03,1.471143896e+00
rotor,self,1.000,uj,128,3.013922937e-03,1.430320017e+00
rotor,self,1.000,uj,129,2.565454212e-03,1.100296738e+00
rotor,self,1.000,uj,130,2.031325588e-03,1.089935156e+00
rotor,self,1.000,uj,131,1.784918959e-03,6.745205362e-01
rotor,self,1.000,uj,132,1.599754907e-03,5.506652076e-01
